t0,5/2/2017  11:03:14.356096
delta t,0.001000

time,Y
5/2/2017  11:03:18.554096,2.589519
5/2/2017  11:03:18.555096,2.653094
5/2/2017  11:03:18.556096,2.706498
5/2/2017  11:03:18.557096,2.700141
5/2/2017  11:03:18.558096,2.683611
5/2/2017  11:03:18.559096,2.698869
5/2/2017  11:03:18.560096,2.716670
5/2/2017  11:03:18.561096,2.673439
5/2/2017  11:03:18.562096,2.714127
5/2/2017  11:03:18.563096,2.604777
5/2/2017  11:03:18.564096,2.655638
5/2/2017  11:03:18.565096,2.683611
5/2/2017  11:03:18.566096,2.651823
5/2/2017  11:03:18.567096,2.697598
5/2/2017  11:03:18.568096,2.661995
5/2/2017  11:03:18.569096,2.572989
5/2/2017  11:03:18.570096,2.604777
5/2/2017  11:03:18.571096,2.711584
5/2/2017  11:03:18.572096,2.673439
5/2/2017  11:03:18.573096,2.717942
5/2/2017  11:03:18.574096,2.696326
5/2/2017  11:03:18.575096,2.639108
5/2/2017  11:03:18.576096,2.710313
5/2/2017  11:03:18.577096,2.695054
5/2/2017  11:03:18.578096,2.787875
5/2/2017  11:03:18.579096,2.673439
5/2/2017  11:03:18.580096,2.634022
5/2/2017  11:03:18.581096,2.588247
5/2/2017  11:03:18.582096,2.659452
5/2/2017  11:03:18.583096,2.636565
5/2/2017  11:03:18.584096,2.570446
5/2/2017  11:03:18.585096,2.609863
5/2/2017  11:03:18.586096,2.572989
5/2/2017  11:03:18.587096,2.660724
5/2/2017  11:03:18.588096,2.678525
5/2/2017  11:03:18.589096,2.583161
5/2/2017  11:03:18.590096,2.626393
5/2/2017  11:03:18.591096,2.677253
5/2/2017  11:03:18.592096,2.780246
5/2/2017  11:03:18.593096,2.758630
5/2/2017  11:03:18.594096,2.720485
5/2/2017  11:03:18.595096,2.758630
5/2/2017  11:03:18.596096,2.781518
5/2/2017  11:03:18.597096,2.677253
5/2/2017  11:03:18.598096,2.698869
5/2/2017  11:03:18.599096,2.664538
5/2/2017  11:03:18.600096,2.701412
5/2/2017  11:03:18.601096,2.630207
5/2/2017  11:03:18.602096,2.593333
5/2/2017  11:03:18.603096,2.717942
5/2/2017  11:03:18.604096,2.592062
5/2/2017  11:03:18.605096,2.595876
5/2/2017  11:03:18.606096,2.703955
5/2/2017  11:03:18.607096,2.584433
5/2/2017  11:03:18.608096,2.673439
5/2/2017  11:03:18.609096,2.616221
5/2/2017  11:03:18.610096,10.416966
5/2/2017  11:03:18.611096,10.416966
5/2/2017  11:03:18.612096,10.416966
5/2/2017  11:03:18.613096,10.416966
5/2/2017  11:03:18.614096,10.417284
5/2/2017  11:03:18.615096,10.416966
5/2/2017  11:03:18.616096,10.417284
5/2/2017  11:03:18.617096,10.416966
5/2/2017  11:03:18.618096,10.416966
5/2/2017  11:03:18.619096,10.416966
5/2/2017  11:03:18.620096,10.417284
5/2/2017  11:03:18.621096,10.417284
5/2/2017  11:03:18.622096,10.417284
5/2/2017  11:03:18.623096,10.417284
5/2/2017  11:03:18.624096,10.417284
5/2/2017  11:03:18.625096,10.416966
5/2/2017  11:03:18.626096,10.417284
5/2/2017  11:03:18.627096,10.416966
5/2/2017  11:03:18.628096,10.417284
5/2/2017  11:03:18.629096,10.417284
5/2/2017  11:03:18.630096,10.416966
5/2/2017  11:03:18.631096,10.416966
5/2/2017  11:03:18.632096,10.416966
5/2/2017  11:03:18.633096,10.416966
5/2/2017  11:03:18.634096,10.416966
5/2/2017  11:03:18.635096,10.416966
5/2/2017  11:03:18.636096,10.416966
5/2/2017  11:03:18.637096,10.417284
5/2/2017  11:03:18.638096,10.417284
5/2/2017  11:03:18.639096,10.417284
5/2/2017  11:03:18.640096,10.416966
5/2/2017  11:03:18.641096,10.416966
5/2/2017  11:03:18.642096,10.417284
5/2/2017  11:03:18.643096,10.417284
5/2/2017  11:03:18.644096,10.417284
5/2/2017  11:03:18.645096,10.417284
5/2/2017  11:03:18.646096,10.416966
5/2/2017  11:03:18.647096,10.416966
5/2/2017  11:03:18.648096,10.416966
5/2/2017  11:03:18.649096,10.416966
5/2/2017  11:03:18.650096,10.416966
5/2/2017  11:03:18.651096,10.417284
5/2/2017  11:03:18.652096,10.417284
5/2/2017  11:03:18.653096,10.416966
5/2/2017  11:03:18.654096,10.416966
5/2/2017  11:03:18.655096,10.417284
5/2/2017  11:03:18.656096,10.416966
5/2/2017  11:03:18.657096,10.417284
5/2/2017  11:03:18.658096,10.417284
5/2/2017  11:03:18.659096,10.417284
5/2/2017  11:03:18.660096,10.417284
5/2/2017  11:03:18.661096,10.416966
5/2/2017  11:03:18.662096,10.416966
5/2/2017  11:03:18.663096,10.416966
5/2/2017  11:03:18.664096,10.416966
5/2/2017  11:03:18.665096,10.416966
5/2/2017  11:03:18.666096,10.416966
5/2/2017  11:03:18.667096,10.416966
5/2/2017  11:03:18.668096,10.416966
5/2/2017  11:03:18.669096,10.416966
5/2/2017  11:03:18.670096,10.416966
5/2/2017  11:03:18.671096,10.417284
5/2/2017  11:03:18.672096,10.416966
5/2/2017  11:03:18.673096,10.416966
5/2/2017  11:03:18.674096,10.416966
5/2/2017  11:03:18.675096,10.417284
5/2/2017  11:03:18.676096,10.417284
5/2/2017  11:03:18.677096,10.417284
5/2/2017  11:03:18.678096,10.417284
5/2/2017  11:03:18.679096,10.416966
5/2/2017  11:03:18.680096,10.416966
5/2/2017  11:03:18.681096,10.416966
5/2/2017  11:03:18.682096,10.416966
5/2/2017  11:03:18.683096,10.416966
5/2/2017  11:03:18.684096,10.416966
5/2/2017  11:03:18.685096,10.416966
5/2/2017  11:03:18.686096,10.416966
5/2/2017  11:03:18.687096,10.416966
